// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.04 sec)   *****
// Found 3 benchmarks:
//   SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToJsonSerializerTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-CNYTJZ(Toolchain=InProcessEmitToolchain)

WorkloadResult  30: 32 op, 704221800.00 ns, 22.0069 ms/op
WorkloadResult  31: 32 op, 698382700.00 ns, 21.8245 ms/op
WorkloadResult  32: 32 op, 748863800.00 ns, 23.4020 ms/op
WorkloadResult  33: 32 op, 818003000.00 ns, 25.5626 ms/op
WorkloadResult  34: 32 op, 735312000.00 ns, 22.9785 ms/op
WorkloadResult  35: 32 op, 736499500.00 ns, 23.0156 ms/op
WorkloadResult  36: 32 op, 701126800.00 ns, 21.9102 ms/op
WorkloadResult  37: 32 op, 790054100.00 ns, 24.6892 ms/op
WorkloadResult  38: 32 op, 699279500.00 ns, 21.8525 ms/op
WorkloadResult  39: 32 op, 717858400.00 ns, 22.4331 ms/op
WorkloadResult  40: 32 op, 822519800.00 ns, 25.7037 ms/op
WorkloadResult  41: 32 op, 700550900.00 ns, 21.8922 ms/op
WorkloadResult  42: 32 op, 771220400.00 ns, 24.1006 ms/op
WorkloadResult  43: 32 op, 858531600.00 ns, 26.8291 ms/op
WorkloadResult  44: 32 op, 804378200.00 ns, 25.1368 ms/op
WorkloadResult  45: 32 op, 719232300.00 ns, 22.4760 ms/op
WorkloadResult  46: 32 op, 735063800.00 ns, 22.9707 ms/op
WorkloadResult  47: 32 op, 701978100.00 ns, 21.9368 ms/op
WorkloadResult  48: 32 op, 763648800.00 ns, 23.8640 ms/op
WorkloadResult  49: 32 op, 734875600.00 ns, 22.9649 ms/op
WorkloadResult  50: 32 op, 715664700.00 ns, 22.3645 ms/op
WorkloadResult  51: 32 op, 709235800.00 ns, 22.1636 ms/op
WorkloadResult  52: 32 op, 834116800.00 ns, 26.0662 ms/op
WorkloadResult  53: 32 op, 762750000.00 ns, 23.8359 ms/op
WorkloadResult  54: 32 op, 792998600.00 ns, 24.7812 ms/op
WorkloadResult  55: 32 op, 694940400.00 ns, 21.7169 ms/op
WorkloadResult  56: 32 op, 711670000.00 ns, 22.2397 ms/op
WorkloadResult  57: 32 op, 712841600.00 ns, 22.2763 ms/op
WorkloadResult  58: 32 op, 776370500.00 ns, 24.2616 ms/op
WorkloadResult  59: 32 op, 715163200.00 ns, 22.3488 ms/op
WorkloadResult  60: 32 op, 791186000.00 ns, 24.7246 ms/op
WorkloadResult  61: 32 op, 798217600.00 ns, 24.9443 ms/op
WorkloadResult  62: 32 op, 728671600.00 ns, 22.7710 ms/op
WorkloadResult  63: 32 op, 698813500.00 ns, 21.8379 ms/op
WorkloadResult  64: 32 op, 716242100.00 ns, 22.3826 ms/op
